lake,name,DOY,year,Canthaxanthin_surface,SS,temp_surface,TDN_ug_L,TDP_ug_L
C,Crooked,197,2003,1.041781004,27.74549409,22.2,815.6,219
C,Crooked,198,2013,1.522382839,25.37586398,25.2,1200,153
C,Crooked,199,2005,0.119257242,13.57127851,22.1,1080.68,168.4
C,Crooked,199,2006,0.247299712,49.70221794,22.9,871.1,194.832
C,Crooked,199,2007,1.206395839,63.19456629,24.1,759,102
C,Crooked,200,2012,0.110545547,4.307327428,21.2,1440,230
C,Crooked,201,2011,0,105.7075812,25.9,1250,197
C,Crooked,202,2010,0.042408709,35.58013779,21.9,1080,211
C,Crooked,203,2009,0.230597058,NA,20.2,861,146
C,Crooked,204,2002,2.456404355,56.07259568,23,1101.9,54
C,Crooked,204,2014,0,28.2802919,20.9,1450,263
C,Crooked,205,2008,0.053182532,11.23040908,19.3,948,119
C,Crooked,208,1996,1.204921661,3.536850772,20,NA,NA
C,Crooked,208,2004,1.454185246,55.23522112,22.29999924,952.28,101.2
C,Crooked,212,2013,0.240822683,0.534943794,20.1,1150,191
C,Crooked,213,2006,0.252638328,0.447551409,21.8,791,184
C,Crooked,213,2007,0.987966814,0.193926174,23.6,821,113
C,Crooked,214,2012,2.90215503,13.56768719,24.1,1150,237
C,Crooked,216,2005,0.471990052,0.357135338,21.9,856.05,222.1
C,Crooked,216,2011,0.034406136,24.50159759,23.3,1050,203
C,Crooked,217,2003,0.163052138,3.741380469,21.9,791.1,211
C,Crooked,217,2010,0.157391016,3.036899803,22.3,1050,200
C,Crooked,218,2009,0.739035919,12.65620411,20,870,252
C,Crooked,219,2014,0.072864494,36.8135441,23.1,1270,232
C,Crooked,220,2008,6.582775784,38.63068039,24,1020,73
C,Crooked,223,2004,1.350770369,4.896731274,19.10000038,895.41,148.2
C,Crooked,224,2002,0.336832788,-4.30E-12,20,476.2,128
C,Crooked,226,2013,0,11.447855,20.9,1130,201
C,Crooked,227,2005,0.797285956,2.444719344,19.7,833.9,321.2
C,Crooked,227,2006,0.563562554,9.086156193,21.4,866.8,286.988
C,Crooked,227,2007,0.369911144,1.988607173,20.5,1010,247
C,Crooked,228,2012,0.13870892,-2.392824795,20.8,1300,340
C,Crooked,229,2011,0,4.228028872,21.7,1160,240
C,Crooked,230,2003,0.806231743,12.88234734,24.1,810.6,278
C,Crooked,230,2010,0.631469372,5.110055626,20.1,1120,202
C,Crooked,230,2016,2.493425,24.70990141,23.2,1000,218
C,Crooked,231,2009,0.469526075,-0.757926586,19,1060,230
C,Crooked,232,2014,0,28.29958675,22.1,1280,245
C,Crooked,233,2008,0.561948292,44.36490228,24.6,806,95
C,Crooked,238,2007,3.5186679,2.850532762,18.9,1100,296
C,Crooked,239,1996,1.361087014,28.14072711,21.5,NA,NA
C,Crooked,240,2002,1.410772772,20.50920373,20.6,1151.9,232
C,Crooked,240,2013,1.888243195,58.71177629,24.4,1280,196
C,Crooked,241,2006,0.194001374,NA,20.1,1082.8,362.311
C,Crooked,242,2012,0.066440833,15.81243377,21.1,1540,414
C,Crooked,243,2011,0.431824598,11.34761434,21.6,1220,292
K,Katepwa,124,2007,0,1.567095789,6.6,1520,140
K,Katepwa,125,2006,0,10.26828471,7.4,888,205.472
K,Katepwa,125,2012,0,1.882378746,5.6,1680,314
K,Katepwa,126,2016,0.040795,54.35722563,12.8,1310,151
K,Katepwa,127,2010,0,2.40562747,6.7,1570,140
K,Katepwa,128,2009,0,-0.655243584,4.1,1680,135
K,Katepwa,129,2002,0.057426751,0.551105911,5.5,1030.7,101
K,Katepwa,130,2008,0,5.762675331,5.8,1650,175
K,Katepwa,132,2003,0.097193945,27.86039719,9.8,910.1,200
K,Katepwa,132,2005,0,10.49675894,7.1,1169,39.8
K,Katepwa,137,2006,0.186750668,129.9023327,14.3,1011.9,150.318
K,Katepwa,137,2013,0,5.890048128,6.4,2100,287
K,Katepwa,138,1996,0,-0.345819553,6,NA,NA
K,Katepwa,138,2004,0,21.22138767,8.300000191,868.18,199.9
K,Katepwa,138,2007,0.041413469,56.70437354,11.6,1300,116
K,Katepwa,139,2012,0,16.72241351,10.4,1590,295
K,Katepwa,140,2011,0,44.18451999,10.7,1550,122
K,Katepwa,141,2010,0,172.7221954,13.8,1230,106
K,Katepwa,141,2016,0.05598,85.68939672,13.1,1020,123
K,Katepwa,142,2009,0,2.905454606,6.3,1480,148
K,Katepwa,143,2003,0.122156325,47.38183962,13.7,953.9,171
K,Katepwa,143,2014,0,32.21318832,9.6,1560,176
K,Katepwa,144,2002,0.117376295,16.74677984,8,1097.4,197
K,Katepwa,144,2008,0,8.505850017,9,1350,113
K,Katepwa,146,2005,0,15.67337176,9.5,857,164.7
K,Katepwa,152,1996,0,40.32778144,11,NA,NA
K,Katepwa,152,2007,0,58.49352978,12.7,1240,120
K,Katepwa,153,2004,0,10.92899938,9,1068.2,188.8
K,Katepwa,153,2012,0,106.8350314,14.2,1340,266
K,Katepwa,154,2011,0,28.28687918,10.8,1360,114
K,Katepwa,155,2010,0,35.40661436,11.5,1290,122
K,Katepwa,155,2016,0,165.6963268,14.9,1120,145
K,Katepwa,156,2009,0,28.18631221,11,1480,143
K,Katepwa,157,2003,0.194122333,45.9913182,14.5,825.4,158
K,Katepwa,157,2014,0.036149245,119.3664744,13,1220,139
K,Katepwa,158,2002,0.248827122,62.55668495,13.5,1090,233
K,Katepwa,158,2006,0.223350179,313.4336526,18.1,1010.7,150.351
K,Katepwa,158,2008,0,108.8273487,14.1,1090,110
K,Katepwa,159,2005,0,70.79736121,12.2,1020,160.1
K,Katepwa,163,2004,0,24.23297114,11.69999981,938.79,183.6
K,Katepwa,164,1996,0.049924759,322.4513052,19,NA,NA
K,Katepwa,165,2013,0,197.61623,15.5,1100,110
K,Katepwa,166,2007,0,247.532168,17.2,1220,124
K,Katepwa,167,2012,0.028316663,119.7323957,16,1510,270
K,Katepwa,168,2011,0,288.9772278,17,1360,104
K,Katepwa,169,2010,0,101.7751641,15.6,1260,118
K,Katepwa,169,2016,0,204.3289619,17.7,1250,189
K,Katepwa,171,2014,0,181.3475107,14.6,1330,155
K,Katepwa,172,2008,0,225.4848472,16.4,1160,122
K,Katepwa,173,2005,0,367.208382,21.7,960.7,136.9
K,Katepwa,174,2003,0.029565371,136.0312781,19,843.3,201
K,Katepwa,176,2002,0.271864212,312.2649766,21,1006.8,175
K,Katepwa,177,2004,0,22.9589768,13.60000038,911.5,157
K,Katepwa,179,2006,2.442710906,424.8991426,21,907.3,134.63
K,Katepwa,179,2013,0,432.400691,19.4,1630,222
K,Katepwa,180,1996,0.028534124,178.9880516,15.5,NA,NA
K,Katepwa,180,2007,0.006970663,123.3353931,16.4,1370,153
K,Katepwa,181,2011,0,279.147969,19.3,1430,146
K,Katepwa,181,2012,0.020682831,205.5861499,19.5,1590,275
K,Katepwa,181,2016,0.0349,375.0958316,21.4,1430,218
K,Katepwa,183,2010,0,491.9683878,21.8,1440,145
K,Katepwa,184,2009,0,420.0055953,20.4,1270,129
K,Katepwa,185,2003,0.019784014,169.2918883,19.8,845.7,197
K,Katepwa,185,2014,0,290.4121861,18.1,1620,224
K,Katepwa,187,2005,0.048320886,422.1259301,19.8,1387.2,171.8
K,Katepwa,187,2008,0,492.2037366,21.7,1190,149
K,Katepwa,191,2002,0.135832522,265.7661442,23.8,973.3,144
K,Katepwa,191,2004,0,140.651344,18.60000038,1069.54,163.1
K,Katepwa,193,2006,1.476890093,519.0284589,22.2,944.4,135.415
K,Katepwa,193,2013,0.046093581,626.1530689,23.1,1780,223
K,Katepwa,194,1996,1.151721696,436.2002924,20,NA,NA
K,Katepwa,194,2007,0,407.2068188,21.8,1260,166
K,Katepwa,195,2012,0.189011177,485.6622435,25.4,1360,241
K,Katepwa,196,2003,0.478534124,101.6972442,20.2,964.4,169
K,Katepwa,196,2011,0,533.4879063,21.8,1270,193
K,Katepwa,197,2010,0.083183588,458.5525069,20.8,1430,164
K,Katepwa,197,2016,0.85087,407.2010943,21,1490,241
K,Katepwa,198,2009,0,264.1510288,17.9,1380,177
K,Katepwa,198,2014,0.012378912,350.4050279,20.8,1390,170
K,Katepwa,200,2008,0,381.1045483,20.7,1390,159
K,Katepwa,201,2005,0.600254579,310.4953663,20.2,834.6,140.3
K,Katepwa,202,2004,0,244.4274653,22.89999962,970.71,179.7
K,Katepwa,205,2002,0.018854563,565.4434009,23.5,1153,131
K,Katepwa,207,2006,0.559831703,636.678768,23.6,964.8,92.092
K,Katepwa,207,2013,0.910673159,453.9691569,20.4,1370,180
K,Katepwa,208,1996,0.820571833,187.8062768,21,NA,NA
K,Katepwa,208,2007,1.717904631,680.8473064,24.4,1180,137
K,Katepwa,209,2012,1.233499537,391.8589251,23.6,1340,250
K,Katepwa,210,2011,0.282768779,466.2489132,21.7,1180,212
K,Katepwa,211,2010,0.374564947,509.8259496,23.3,1260,124
K,Katepwa,211,2016,2.277495,516.4092429,23.7,1740,293
K,Katepwa,212,2009,0.155550931,213.977831,18.6,1340,175
K,Katepwa,213,2003,1.276533593,179.0335298,23.6,929.8,161
K,Katepwa,213,2014,0.998306995,543.0979484,23.7,1840,271
K,Katepwa,214,2008,0.440269955,NA,NA,1510,199
K,Katepwa,215,2005,0.372697765,468.73264,21.7,1277.2,145.6
K,Katepwa,217,2004,0,363.725268,20.70000076,1133.93,160.4
K,Katepwa,220,2002,0.203416837,250.7464133,20,1006.7,71
K,Katepwa,221,2006,0.241273895,409.4100557,21.5,899.9,104.376
K,Katepwa,221,2013,0.128990073,391.0025753,19.5,1140,126
K,Katepwa,222,2007,0.654871897,542.0171526,21.9,934,88
K,Katepwa,223,2012,0.345138996,389.9426498,22.3,1640,307
K,Katepwa,224,1996,1.078162344,410.4231398,19,NA,NA
K,Katepwa,224,2011,0.593292483,428.3975904,22.1,1470,319
K,Katepwa,225,2010,0.293396799,520.486769,22.5,1150,99
K,Katepwa,226,2009,0.701070057,332.1697764,20.4,1490,204
K,Katepwa,227,2003,1.91094981,450.100055,25.3,896.1,159
K,Katepwa,227,2014,0.92825211,564.1482732,25.6,1730,199
K,Katepwa,228,2008,3.538318372,NA,NA,1480,118
K,Katepwa,229,2005,1.364761597,203.7138735,18.4,853.3,143.4
K,Katepwa,235,2002,0.73888643,204.7995968,19.7,NA,NA
K,Katepwa,235,2006,0.537075708,380.8486314,21.6,1010.9,86.9112
K,Katepwa,235,2007,0.564822429,140.9264329,17.9,1020,104
K,Katepwa,235,2013,0.225367791,497.9808116,21.1,1170,127
K,Katepwa,236,1996,2.636452155,221.5603248,19,NA,NA
K,Katepwa,237,2003,0.881915553,144.1141197,22,844.8,141
K,Katepwa,237,2012,1.372149069,314.5340579,21.8,1400,236
K,Katepwa,238,2004,0.451845623,53.17865695,16.5,846,166.1
K,Katepwa,238,2011,0.470135314,290.1707459,20.8,1390,302
K,Katepwa,239,2010,0.277900954,332.7889365,19.5,1790,207
K,Katepwa,240,2009,1.155074019,209.2305931,18.8,1760,237
K,Katepwa,242,2008,0.644982341,233.6770976,18.9,1520,156
L,Last Mountain,129,1996,0.013941754,NA,2,NA,NA
L,Last Mountain,131,2004,0,2.862685874,7,1321.02,44.6
L,Last Mountain,131,2007,0,13.3053362,8.8,1040,20
L,Last Mountain,132,2006,0,2.172452373,8,963.57,24.185
L,Last Mountain,132,2012,0.049648143,1.993121483,8.3,1030,23
L,Last Mountain,133,2011,0,4.417987076,6.8,1350,75
L,Last Mountain,133,2016,0.012165,0.207998874,8.7,930,57
L,Last Mountain,134,2010,0,44.79578743,10.4,1040,26
L,Last Mountain,135,2009,0,0.070590303,4.4,1160,36
L,Last Mountain,136,2005,0.043427826,1.225414848,6.9,970,22.2
L,Last Mountain,136,2014,0,-0.532779667,5.5,1090,86
L,Last Mountain,137,2002,0.028016288,6.481179634,6.5,1131.8,22
L,Last Mountain,137,2008,0,9.674394662,6.8,1180,22.9
L,Last Mountain,140,2003,0.035053554,1.642131316,9.3,977.8,30
L,Last Mountain,144,1996,0.046472515,12.5003506,8,NA,NA
