"lake","date","year","DOY","microcystin"
"K","2012-07-27",2012,209,1.143907264
"K","2012-08-10",2012,223,0.31298632
"K","2012-08-24",2012,237,0.311604724
"K","2013-05-17",2013,137,0.157281422
"K","2013-06-14",2013,165,0.08
"K","2013-06-28",2013,179,0.377512576
"K","2013-07-12",2013,193,3.446015335
"K","2013-07-26",2013,207,28.09709513
"K","2013-08-09",2013,221,2.342864659
"K","2013-08-23",2013,235,0.222075469
"K","2014-05-23",2014,143,0.08
"K","2014-06-06",2014,157,0.08
"K","2014-06-20",2014,171,0.08
"K","2014-07-04",2014,185,0.08
"K","2014-07-17",2014,198,0.519039876
"K","2014-08-01",2014,213,4.167210338
"K","2014-08-15",2014,227,5.919715326
"K","2015-05-05",2015,125,0.08
"K","2015-05-22",2015,142,0.08
"K","2015-06-05",2015,156,0.08
"K","2015-06-19",2015,170,0.214355826
"K","2015-07-03",2015,184,0.08
"K","2015-07-17",2015,198,1.407125021
"K","2015-07-30",2015,211,0.08
"K","2015-08-14",2015,226,1.993208138
"K","2016-05-20",2016,141,0.08
"K","2016-06-03",2016,155,0.08
"K","2016-06-17",2016,169,0.08
"K","2016-07-15",2016,197,5.500888879
"K","2016-07-29",2016,211,0.08
"K","2016-08-12",2016,225,0.606152615
"L","2006-05-26",2006,146,0.08
"L","2006-06-23",2006,174,0.24927219
"L","2006-07-21",2006,202,4.166051203
"L","2006-08-18",2006,230,1.213657218
"L","2006-08-31",2006,243,0.781019737
"L","2007-05-11",2007,131,0.08
"L","2007-05-25",2007,145,0.08
"L","2007-06-08",2007,159,0.08
"L","2007-06-22",2007,173,0.08
"L","2007-07-10",2007,191,0.08
"L","2007-07-20",2007,201,0.247598192
"L","2007-08-03",2007,215,0.374663621
"L","2007-08-17",2007,229,0.546728445
"L","2007-08-31",2007,243,0.443503808
"L","2008-05-16",2008,137,0.08
"L","2008-05-30",2008,151,0.08
"L","2008-06-13",2008,165,0.08
"L","2008-07-01",2008,183,0.08
"L","2008-07-11",2008,193,0.08
"L","2008-07-25",2008,207,2.365000815
"L","2008-08-08",2008,221,1.92476844
"L","2008-08-26",2008,239,0.614726884
"L","2009-05-15",2009,135,0.08
"L","2009-05-29",2009,149,0.08
"L","2009-06-12",2009,163,0.08
"L","2009-06-26",2009,177,0.08
"L","2009-07-10",2009,191,0.08
"L","2009-07-24",2009,205,0.08
"L","2009-08-07",2009,219,2.013486265
"L","2009-08-21",2009,233,0.825809934
"L","2010-05-14",2010,134,0.08
"L","2010-05-28",2010,148,0.174115036
"L","2010-06-11",2010,162,0.08
"L","2010-06-25",2010,176,0.171378183
"L","2010-07-09",2010,190,0.689422508
"L","2010-07-23",2010,204,2.32439828
"L","2010-08-06",2010,218,0.495648769
"L","2010-08-20",2010,232,0.532204158
"L","2011-05-13",2011,133,0.08
"L","2011-05-27",2011,147,0.08
"L","2011-06-10",2011,161,0.08
"L","2011-06-24",2011,175,0.08
"L","2011-07-08",2011,189,0.08
"L","2011-07-22",2011,203,0.181553333
"L","2011-08-05",2011,217,0.928535468
"L","2011-08-19",2011,231,0.607124857
"L","2012-05-11",2012,132,0.08
"L","2012-05-25",2012,146,0.161649928
"L","2012-06-08",2012,160,0.222818452
"L","2012-06-22",2012,174,1.138773951
"L","2012-07-06",2012,188,1.078941761
"L","2012-07-20",2012,202,0.683056161
"L","2012-08-03",2012,216,1.138773951
"L","2012-08-17",2012,230,1.257216233
"L","2013-06-07",2013,158,0.168410071
"L","2013-06-21",2013,172,0.223865725
"L","2013-07-05",2013,186,0.08
"L","2013-07-19",2013,200,0.200064188
"L","2013-08-02",2013,214,1.473767087
"L","2013-08-16",2013,228,0.792853463
"L","2013-08-30",2013,242,1.066232929
"L","2014-05-16",2014,136,0.08
"L","2014-05-30",2014,150,0.08
"L","2014-06-13",2014,164,0.08
"L","2014-06-27",2014,178,0.163184181
"L","2014-07-11",2014,192,0.156169031
"L","2014-07-25",2014,206,0.254621365
"L","2014-08-08",2014,220,0.332647251
"L","2014-08-22",2014,234,0.297495883
"L","2015-05-15",2015,135,0.1544709
"L","2015-05-20",2015,140,0.215510231
"L","2015-06-26",2015,177,0.197763568
"L","2015-07-10",2015,191,1.017494676
"L","2015-07-24",2015,205,0.231763074
"L","2015-08-07",2015,219,0.418809818
"L","2015-08-21",2015,233,0.316480309
"L","2016-05-12",2016,133,0.08
"L","2016-05-27",2016,148,0.08
"L","2016-06-13",2016,165,0.08
"L","2016-06-24",2016,176,0.08
"L","2016-07-18",2016,200,2.245594411
"L","2016-07-20",2016,202,1.766497833
"L","2016-08-08",2016,221,1.30598209
"L","2016-08-19",2016,232,1.621095675
"P","2006-05-09",2006,129,0.08
"P","2006-05-24",2006,144,0.08
"P","2006-06-07",2006,158,0.08
"P","2006-06-21",2006,172,0.08
"P","2006-07-05",2006,186,0.999956456
"P","2006-07-18",2006,199,0.176135548
"P","2006-07-26",2006,207,0.158284637
"P","2006-08-02",2006,214,0.08
"P","2006-08-16",2006,228,0.464931129
"P","2006-08-30",2006,242,0.276152134
